onset	duration	trial_type
2.041	20	786
5.041	20	788
5.041	20	362
21.042	20	1092
21.642	20	804
21.642	20	905
21.742	20	32768
39.478	20	806
39.478	20	901
39.478	20	837
39.478	20	33574
39.678	20	32768
40.079	20	1092
40.579	20	806
40.679	20	806
40.779	20	32768
47.689	20	802
47.689	20	901
47.689	20	834
47.789	20	33570
47.889	20	32768
48.29	20	1092
48.79	20	802
48.89	20	802
48.99	20	32768
51.802	20	801
51.802	20	902
51.802	20	833
51.802	20	33569
52.002	20	32768
52.403	20	1092
52.903	20	801
53.003	20	801
53.103	20	32768
55.602	20	805
55.602	20	909
55.602	20	833
55.702	20	33573
55.802	20	32768
56.203	20	1092
56.703	20	805
56.803	20	805
56.903	20	32768
61.802	20	803
61.802	20	901
61.802	20	841
61.802	20	33571
62.002	20	32768
62.403	20	1092
62.903	20	803
63.003	20	803
63.103	20	32768
69.346	20	800
69.346	20	909
69.346	20	837
69.446	20	33568
69.546	20	32768
69.947	20	1092
70.447	20	800
70.547	20	800
70.647	20	32768
74.602	20	807
74.602	20	905
74.602	20	841
74.602	20	33575
74.802	20	32768
75.203	20	1092
75.703	20	807
75.803	20	807
75.903	20	32768
75.903	20	909
82.802	20	802
82.802	20	833
83.002	20	32768
85.861	20	786
86.785	20	257
86.785	20	463
88.861	20	788
104.862	20	1092
105.362	20	802
105.462	20	802
105.562	20	32768
105.562	20	902
117.202	20	805
117.202	20	837
117.402	20	32768
117.803	20	1092
118.303	20	805
118.403	20	805
118.503	20	32768
118.503	20	908
122.402	20	801
122.402	20	837
122.602	20	32768
123.003	20	1092
123.503	20	801
123.603	20	801
123.703	20	32768
123.703	20	905
135.402	20	803
135.402	20	835
135.602	20	32768
136.003	20	1092
136.503	20	803
136.603	20	803
136.703	20	32768
144.802	20	804
144.802	20	835
145.002	20	32768
145.403	20	1092
145.903	20	804
145.903	20	903
146.003	20	804
146.103	20	32768
146.103	20	903
149.602	20	806
149.602	20	833
149.802	20	32768
150.203	20	1092
150.703	20	806
150.803	20	806
150.903	20	32768
150.903	20	901
155.602	20	807
155.602	20	840
155.802	20	32768
156.203	20	1092
156.703	20	807
156.803	20	807
156.903	20	32768
156.903	20	905
160.202	20	800
160.202	20	841
160.402	20	32768
160.803	20	1092
161.303	20	800
161.403	20	800
161.403	20	901
161.503	20	32768
170.142	20	806
170.142	20	834
170.342	20	32768
170.342	20	460
173.074	20	786
176.074	20	788
192.075	20	1092
192.575	20	806
192.675	20	806
192.675	20	909
192.775	20	32768
199.002	20	802
199.002	20	841
199.202	20	32768
199.603	20	1092
200.103	20	802
200.203	20	802
200.203	20	905
200.303	20	32768
206.837	20	800
206.837	20	833
207.037	20	32768
207.438	20	1092
207.938	20	800
208.038	20	800
208.038	20	901
208.138	20	32768
214.602	20	807
214.602	20	838
214.802	20	32768
215.203	20	1092
215.703	20	807
215.803	20	807
215.803	20	901
215.903	20	32768
218.202	20	803
218.202	20	841
218.402	20	32768
218.803	20	1092
219.303	20	803
219.403	20	803
219.403	20	909
219.503	20	32768
226.452	20	801
226.452	20	835
226.652	20	32768
227.053	20	1092
227.553	20	801
227.653	20	801
227.753	20	32768
232.829	20	804
232.829	20	833
233.029	20	32768
233.43	20	1092
233.43	20	903
233.93	20	804
234.03	20	804
234.03	20	906
234.13	20	32768
237.802	20	805
237.802	20	833
238.002	20	32768
238.403	20	1092
238.903	20	805
238.903	20	905
239.003	20	805
239.103	20	32768
243.602	20	801
243.602	20	837
243.802	20	32768
243.802	20	633
246.433	20	257
246.69	20	786
249.69	20	788
265.691	20	1092
266.191	20	801
266.191	20	907
266.291	20	801
266.391	20	32768
274.802	20	806
274.802	20	839
275.002	20	32768
275.403	20	1092
275.903	20	806
275.903	20	901
276.003	20	806
276.103	20	32768
282.002	20	803
282.002	20	837
282.202	20	32768
282.603	20	1092
283.103	20	803
283.203	20	803
283.303	20	32768
288.985	20	804
288.985	20	834
289.185	20	32768
289.586	20	1092
289.586	20	902
290.086	20	804
290.086	20	906
290.186	20	804
290.286	20	32768
295.287	20	802
295.287	20	839
295.487	20	32768
295.888	20	1092
296.388	20	802
296.388	20	901
296.488	20	802
296.588	20	32768
301.002	20	805
301.002	20	833
301.202	20	32768
301.603	20	1092
302.103	20	805
302.103	20	904
302.203	20	805
302.303	20	32768
307.202	20	800
307.202	20	836
307.402	20	32768
307.803	20	1092
308.303	20	800
308.303	20	907
308.403	20	800
308.503	20	32768
316.402	20	807
316.402	20	833
316.602	20	32768
317.003	20	1092
317.003	20	901
317.503	20	807
317.603	20	807
317.703	20	32768
322.002	20	807
322.002	20	440
322.002	20	838
322.202	20	32768
325.763	20	786
328.763	20	788
344.764	20	1092
344.764	20	901
345.264	20	807
345.364	20	807
345.464	20	32768
348.402	20	803
348.402	20	841
348.602	20	32768
349.003	20	1092
349.003	20	909
349.503	20	803
349.603	20	803
349.703	20	32768
