onset	duration	trial_type
2.145	20	263
2.375	20	786
5.375	20	788
5.375	20	554
21.376	20	1092
21.976	20	802
21.976	20	906
22.076	20	32768
26.012	20	800
26.012	20	909
26.012	20	833
26.012	20	33568
26.212	20	32768
26.613	20	1092
27.113	20	800
27.213	20	800
27.313	20	32768
33.202	20	805
33.202	20	908
33.202	20	840
33.302	20	33573
33.402	20	32768
33.803	20	1092
34.303	20	805
34.403	20	805
34.503	20	32768
38.402	20	807
38.402	20	907
38.402	20	841
38.402	20	33575
38.602	20	32768
39.003	20	1092
39.503	20	807
39.603	20	807
39.703	20	32768
42.402	20	806
42.402	20	901
42.402	20	838
42.502	20	33574
42.602	20	32768
43.003	20	1092
43.503	20	806
43.603	20	806
43.703	20	32768
53.002	20	804
53.002	20	901
53.002	20	838
53.002	20	33572
53.202	20	32768
53.603	20	1092
54.103	20	804
54.203	20	804
54.303	20	32768
57.202	20	803
57.202	20	901
57.202	20	839
57.302	20	33571
57.402	20	32768
57.803	20	1092
58.303	20	803
58.403	20	803
58.503	20	32768
61.402	20	801
61.402	20	906
61.402	20	833
61.402	20	33569
61.602	20	32768
62.003	20	1092
62.503	20	801
62.603	20	801
62.703	20	32768
62.703	20	901
65.602	20	804
65.602	20	833
65.802	20	32768
68.8	20	786
68.8	20	604
71.8	20	788
87.801	20	1092
88.301	20	804
88.401	20	804
88.501	20	32768
88.501	20	908
93.402	20	800
93.402	20	837
93.602	20	32768
94.003	20	1092
94.503	20	800
94.603	20	800
94.703	20	32768
94.703	20	907
101.029	20	805
101.029	20	839
101.229	20	32768
101.63	20	1092
102.13	20	805
102.23	20	805
102.33	20	32768
102.33	20	905
106.822	20	806
106.822	20	840
107.022	20	32768
107.423	20	1092
107.923	20	806
108.023	20	806
108.123	20	32768
108.123	20	905
114.347	20	807
114.347	20	834
114.547	20	32768
114.948	20	1092
115.448	20	807
115.548	20	807
115.648	20	32768
115.648	20	901
118.671	20	803
118.671	20	837
118.871	20	32768
119.272	20	1092
119.772	20	803
119.872	20	803
119.972	20	32768
123.202	20	802
123.202	20	833
123.402	20	32768
123.803	20	1092
124.303	20	802
124.303	20	905
124.403	20	802
124.503	20	32768
124.503	20	902
127.802	20	801
127.802	20	833
128.002	20	32768
128.403	20	1092
128.903	20	801
129.003	20	801
129.003	20	905
129.103	20	32768
135.835	20	801
135.835	20	837
136.035	20	32768
136.035	20	511
140.337	20	786
143.337	20	788
159.338	20	1092
159.838	20	801
159.938	20	801
159.938	20	905
160.038	20	32768
165.802	20	805
165.802	20	838
166.002	20	32768
166.403	20	1092
166.903	20	805
167.003	20	805
167.003	20	901
167.103	20	32768
169.944	20	804
169.944	20	839
170.144	20	32768
170.545	20	1092
171.045	20	804
171.145	20	804
171.245	20	32768
175.802	20	802
175.802	20	840
176.002	20	32768
176.403	20	1092
176.403	20	906
176.903	20	802
177.003	20	802
177.003	20	906
177.103	20	32768
180.002	20	806
180.002	20	833
180.202	20	32768
180.603	20	1092
181.103	20	806
181.203	20	806
181.203	20	901
181.303	20	32768
185.602	20	803
185.602	20	837
185.802	20	32768
186.203	20	1092
186.703	20	803
186.803	20	803
186.803	20	907
186.903	20	32768
203.564	20	800
203.564	20	833
203.764	20	32768
204.165	20	1092
204.665	20	800
204.765	20	800
204.765	20	908
204.865	20	32768
208.602	20	807
208.602	20	837
208.802	20	32768
209.203	20	1092
209.703	20	807
209.703	20	905
209.803	20	807
209.903	20	32768
212.602	20	805
212.602	20	838
212.602	20	419
212.802	20	32768
215.356	20	786
218.356	20	788
234.357	20	1092
234.857	20	805
234.857	20	901
234.957	20	805
235.057	20	32768
240.002	20	803
240.002	20	839
240.202	20	32768
240.603	20	1092
241.103	20	803
241.103	20	905
241.203	20	803
241.303	20	32768
248.802	20	807
248.802	20	838
249.002	20	32768
249.403	20	1092
249.903	20	807
249.903	20	905
250.003	20	807
250.103	20	32768
252.602	20	806
252.602	20	840
252.802	20	32768
253.203	20	1092
253.703	20	806
253.703	20	906
253.803	20	806
253.903	20	32768
258.602	20	801
258.602	20	838
258.802	20	32768
259.203	20	1092
259.703	20	801
259.803	20	801
259.903	20	32768
279.26	20	802
279.26	20	837
279.46	20	32768
279.861	20	1092
279.861	20	908
280.361	20	802
280.361	20	907
280.461	20	802
280.561	20	32768
287.202	20	800
287.202	20	833
287.402	20	32768
287.803	20	1092
288.303	20	800
288.303	20	906
288.403	20	800
288.503	20	32768
292.202	20	804
292.202	20	837
292.402	20	32768
292.803	20	1092
292.803	20	901
293.303	20	804
293.403	20	804
293.503	20	32768
297.402	20	803
297.402	20	514
297.402	20	837
297.602	20	32768
300.295	20	786
303.295	20	788
319.296	20	1092
319.296	20	907
319.796	20	803
319.896	20	803
319.996	20	32768
327.602	20	800
327.602	20	833
327.802	20	32768
328.203	20	1092
328.203	20	905
328.703	20	800
328.803	20	800
328.903	20	32768
333.207	20	806
333.207	20	837
333.407	20	32768
333.808	20	1092
333.808	20	905
334.308	20	806
334.408	20	806
334.508	20	32768
340.002	20	807
340.002	20	834
340.202	20	32768
340.603	20	1092
340.603	20	905
341.103	20	807
341.203	20	807
341.303	20	32768
346.22	20	805
346.22	20	835
346.42	20	32768
346.821	20	1092
346.821	20	902
347.321	20	805
347.421	20	805
347.521	20	32768
351.002	20	801
351.002	20	839
351.202	20	32768
351.603	20	1092
352.103	20	801
352.203	20	801
352.303	20	32768
361.602	20	802
361.602	20	837
361.602	20	903
361.802	20	32768
362.203	20	1092
362.203	20	901
362.703	20	802
362.803	20	802
362.903	20	32768
369.802	20	804
369.802	20	833
370.002	20	32768
370.403	20	1092
370.403	20	906
370.903	20	804
371.003	20	804
371.103	20	32768
371.103	20	571
379.204	20	800
379.204	20	837
379.404	20	32768
382.181	20	786
385.181	20	788
385.181	20	903
401.182	20	1092
401.682	20	800
401.782	20	800
401.882	20	32768
409.402	20	804
409.402	20	837
409.602	20	32768
409.602	20	901
410.003	20	1092
410.503	20	804
410.603	20	804
410.703	20	32768
414.127	20	807
414.127	20	833
414.327	20	32768
414.327	20	909
414.728	20	1092
415.228	20	807
415.328	20	807
415.428	20	32768
418.586	20	801
418.586	20	841
418.786	20	32768
418.786	20	905
419.187	20	1092
419.687	20	801
419.787	20	801
419.887	20	32768
434.721	20	806
434.721	20	837
434.921	20	32768
435.322	20	1092
435.822	20	806
435.922	20	806
436.022	20	32768
439.017	20	802
439.017	20	909
439.017	20	841
439.217	20	32768
439.217	20	905
439.618	20	1092
440.118	20	802
440.218	20	802
440.318	20	32768
447.802	20	805
447.802	20	833
448.002	20	32768
448.002	20	901
448.403	20	1092
448.903	20	805
449.003	20	805
449.103	20	32768
452.002	20	803
452.002	20	838
452.202	20	32768
452.202	20	904
452.603	20	1092
453.103	20	803
453.203	20	803
453.203	20	412
453.303	20	32768
457.602	20	806
457.602	20	835
457.802	20	32768
461.616	20	786
461.616	20	905
464.616	20	788
480.617	20	1092
481.117	20	806
481.217	20	806
481.317	20	32768
488.602	20	803
488.602	20	839
488.602	20	902
488.802	20	32768
489.203	20	1092
489.703	20	803
489.803	20	803
489.903	20	32768
494.937	20	805
494.937	20	835
494.937	20	901
495.137	20	32768
495.538	20	1092
496.038	20	805
496.138	20	805
496.238	20	32768
502.088	20	807
502.088	20	835
502.088	20	903
502.288	20	32768
502.689	20	1092
503.189	20	807
503.289	20	807
503.389	20	32768
506.202	20	804
506.202	20	840
506.202	20	907
506.402	20	32768
506.803	20	1092
507.303	20	804
507.403	20	804
507.503	20	32768
509.701	20	801
509.701	20	833
509.901	20	32768
510.302	20	1092
510.802	20	801
510.902	20	801
511.002	20	32768
514.602	20	802
514.602	20	908
514.602	20	836
514.602	20	903
514.802	20	32768
515.203	20	1092
515.703	20	802
515.803	20	802
515.903	20	32768
522.002	20	800
522.002	20	837
522.002	20	902
522.202	20	32768
522.603	20	1092
523.103	20	800
523.103	20	433
523.203	20	800
523.303	20	32768
530.031	20	804
530.031	20	834
530.231	20	32768
530.231	20	907
533.339	20	786
536.339	20	788
552.34	20	1092
552.84	20	804
552.94	20	804
553.04	20	32768
566.202	20	801
566.202	20	901
566.202	20	833
566.402	20	32768
566.803	20	1092
567.303	20	801
567.403	20	801
567.503	20	32768
571.964	20	807
571.964	20	906
571.964	20	840
572.164	20	32768
572.565	20	1092
573.065	20	807
573.165	20	807
573.265	20	32768
577.202	20	805
577.202	20	908
577.202	20	841
577.402	20	32768
577.803	20	1092
578.303	20	805
578.403	20	805
578.503	20	32768
585.002	20	806
585.002	20	905
585.002	20	837
585.202	20	32768
585.603	20	1092
586.103	20	806
586.203	20	806
586.303	20	32768
589.342	20	800
589.342	20	839
589.542	20	32768
589.943	20	1092
590.443	20	800
590.543	20	800
590.543	20	909
590.643	20	32768
594.202	20	802
594.202	20	901
594.202	20	838
594.402	20	32768
594.803	20	1092
595.303	20	802
595.403	20	802
595.503	20	32768
600.402	20	803
600.402	20	906
600.402	20	833
600.602	20	32768
601.003	20	1092
601.003	20	486
601.503	20	803
601.603	20	803
601.703	20	32768
615.602	20	801
615.602	20	834
615.602	20	901
615.802	20	32768
619.912	20	786
622.912	20	788
638.913	20	1092
639.413	20	801
639.513	20	801
