onset	duration	trial_type
2.497	20	263
2.657	20	257
3.433	20	786
4.977	20	257
6.369	20	257
6.433	20	788
6.433	20	304
9.713	20	257
13.889	20	257
22.434	20	1092
23.034	20	803
23.034	20	903
23.134	20	32768
33.042	20	806
33.042	20	902
33.042	20	835
33.042	20	33574
33.242	20	32768
33.643	20	1092
34.143	20	806
34.243	20	806
34.343	20	32768
36.802	20	800
36.802	20	907
36.802	20	833
36.902	20	33568
37.002	20	32768
37.403	20	1092
37.903	20	800
38.003	20	800
38.103	20	32768
40.402	20	807
40.402	20	901
40.402	20	839
40.402	20	33575
40.602	20	32768
41.003	20	1092
41.503	20	807
41.603	20	807
41.703	20	32768
43.145	20	805
43.145	20	907
43.145	20	840
43.245	20	33573
43.345	20	32768
43.746	20	1092
44.246	20	805
44.346	20	805
44.446	20	32768
48.919	20	801
48.919	20	901
48.919	20	839
48.919	20	33569
49.119	20	32768
49.52	20	1092
50.02	20	801
50.12	20	801
50.22	20	32768
53.162	20	802
53.162	20	908
53.162	20	834
53.262	20	33570
53.362	20	32768
53.763	20	1092
54.263	20	802
54.363	20	802
54.463	20	32768
58.002	20	804
58.002	20	903
58.002	20	835
58.002	20	33572
58.202	20	32768
58.603	20	1092
59.103	20	804
59.203	20	804
59.303	20	32768
59.303	20	902
61.922	20	801
61.922	20	833
62.122	20	32768
65.777	20	263
65.889	20	257
66.317	20	786
66.545	20	257
66.897	20	257
67.313	20	257
68.369	20	257
68.369	20	383
69.317	20	788
69.409	20	257
71.729	20	257
79.841	20	257
85.318	20	1092
85.818	20	801
85.918	20	801
86.018	20	32768
86.018	20	908
90.482	20	807
90.482	20	840
90.682	20	32768
91.083	20	1092
91.583	20	807
91.683	20	807
91.783	20	32768
91.783	20	908
94.877	20	806
94.877	20	837
95.077	20	32768
95.478	20	1092
95.978	20	806
96.078	20	806
96.178	20	32768
96.178	20	906
98.562	20	804
98.562	20	834
98.762	20	32768
99.163	20	1092
99.663	20	804
99.763	20	804
99.863	20	32768
99.863	20	905
101.922	20	802
101.922	20	840
102.122	20	32768
102.523	20	1092
103.023	20	802
103.123	20	802
103.223	20	32768
103.223	20	902
106.162	20	805
106.162	20	834
106.362	20	32768
106.763	20	1092
107.263	20	805
107.363	20	805
107.463	20	32768
109.682	20	803
109.682	20	839
109.882	20	32768
110.283	20	1092
110.783	20	803
110.783	20	902
110.883	20	803
110.983	20	32768
110.983	20	907
122.562	20	800
122.562	20	838
122.762	20	32768
123.163	20	1092
123.663	20	800
123.763	20	800
123.863	20	32768
126.162	20	803
126.162	20	834
126.362	20	32768
130.449	20	257
130.449	20	263
130.481	20	263
130.646	20	786
130.646	20	488
132.033	20	257
133.646	20	788
136.529	20	257
145.777	20	257
146.113	20	257
149.647	20	1092
149.647	20	902
150.147	20	803
150.247	20	803
150.247	20	907
150.347	20	32768
154.513	20	805
154.513	20	833
154.713	20	32768
155.114	20	1092
155.614	20	805
155.714	20	805
155.714	20	903
155.814	20	32768
158.002	20	802
158.002	20	840
158.202	20	32768
158.603	20	1092
159.103	20	802
159.203	20	802
159.203	20	907
159.303	20	32768
160.802	20	807
160.802	20	834
161.002	20	32768
161.403	20	1092
161.903	20	807
162.003	20	807
162.003	20	902
162.103	20	32768
166.547	20	806
166.547	20	835
166.747	20	32768
167.148	20	1092
167.648	20	806
167.748	20	806
167.748	20	908
167.848	20	32768
169.282	20	800
169.282	20	833
169.482	20	32768
169.883	20	1092
170.383	20	800
170.483	20	800
170.483	20	901
170.583	20	32768
178.722	20	801
178.722	20	839
178.922	20	32768
179.323	20	1092
179.823	20	801
179.923	20	801
179.923	20	901
180.023	20	32768
181.602	20	804
181.602	20	834
181.802	20	32768
182.203	20	1092
182.703	20	804
182.703	20	907
182.803	20	804
182.903	20	32768
185.522	20	800
185.522	20	839
185.722	20	32768
188.305	20	263
188.497	20	257
188.849	20	786
188.849	20	368
189.409	20	257
190.369	20	257
191.849	20	788
193.153	20	257
207.85	20	1092
208.35	20	800
208.35	20	901
208.45	20	800
208.55	20	32768
212.402	20	805
212.402	20	833
212.602	20	32768
213.003	20	1092
213.503	20	805
213.503	20	908
213.603	20	805
213.703	20	32768
216.802	20	804
216.802	20	839
217.002	20	32768
217.403	20	1092
217.903	20	804
218.003	20	804
218.103	20	32768
220.802	20	803
220.802	20	839
221.002	20	32768
221.403	20	1092
221.403	20	902
221.903	20	803
221.903	20	901
222.003	20	803
222.103	20	32768
232.197	20	801
232.197	20	840
232.397	20	32768
232.798	20	1092
233.298	20	801
233.298	20	907
233.398	20	801
233.498	20	32768
234.482	20	807
234.482	20	841
234.682	20	32768
235.083	20	1092
235.583	20	807
235.583	20	909
235.683	20	807
235.783	20	32768
238.242	20	806
238.242	20	841
238.442	20	32768
238.843	20	1092
239.343	20	806
239.343	20	909
239.443	20	806
239.543	20	32768
241.042	20	802
241.042	20	833
241.242	20	32768
241.643	20	1092
241.643	20	906
242.143	20	802
242.243	20	802
242.343	20	32768
244.642	20	802
244.642	20	834
244.842	20	32768
247.057	20	263
247.601	20	786
247.921	20	257
247.921	20	416
248.353	20	257
248.753	20	257
250.513	20	257
250.601	20	788
266.602	20	1092
266.602	20	901
267.102	20	802
267.202	20	802
267.302	20	32768
271.522	20	801
271.522	20	834
271.722	20	32768
272.123	20	1092
272.623	20	801
272.723	20	801
272.823	20	32768
274.379	20	803
274.379	20	834
274.379	20	902
274.579	20	32768
274.98	20	1092
274.98	20	902
275.48	20	803
275.58	20	803
275.68	20	32768
277.269	20	806
277.269	20	834
277.469	20	32768
277.87	20	1092
277.87	20	902
278.37	20	806
278.47	20	806
278.57	20	32768
280.082	20	804
280.082	20	833
280.282	20	32768
280.683	20	1092
280.683	20	902
281.183	20	804
281.283	20	804
281.383	20	32768
283.464	20	807
283.464	20	834
283.664	20	32768
284.065	20	1092
284.065	20	907
284.565	20	807
284.665	20	807
284.765	20	32768
287.602	20	805
287.602	20	838
287.802	20	32768
288.203	20	1092
288.203	20	905
288.703	20	805
288.803	20	805
288.903	20	32768
291.682	20	800
291.682	20	837
291.882	20	32768
291.882	20	903
292.283	20	1092
292.783	20	800
292.883	20	800
292.983	20	32768
297.736	20	802
297.736	20	839
297.936	20	32768
300.497	20	263
300.769	20	257
300.817	20	259
300.817	20	411
301.68	20	786
302.273	20	257
303.185	20	257
303.873	20	257
304.68	20	788
