onset	duration	trial_type
1.521	20	259
1.729	20	259
1.889	20	259
1.953	20	259
2.289	20	259
2.375	20	786
2.449	20	263
4.929	20	257
5.375	20	788
5.375	20	554
6.081	20	257
7.681	20	257
8.897	20	257
13.153	20	257
17.025	20	257
18.497	20	257
21.376	20	1092
21.976	20	802
21.976	20	905
22.076	20	32768
30.402	20	800
30.402	20	905
30.402	20	834
30.402	20	33568
30.602	20	32768
31.003	20	1092
31.503	20	800
31.603	20	800
31.703	20	32768
34.402	20	805
34.402	20	904
34.402	20	836
34.502	20	33573
34.602	20	32768
35.003	20	1092
35.503	20	805
35.603	20	805
35.703	20	32768
38.508	20	807
38.508	20	903
38.508	20	837
38.508	20	33575
38.708	20	32768
39.109	20	1092
39.609	20	807
39.709	20	807
39.809	20	32768
46.264	20	806
46.264	20	902
46.264	20	837
46.364	20	33574
46.464	20	32768
46.865	20	1092
47.365	20	806
47.465	20	806
47.565	20	32768
49.202	20	804
49.202	20	902
49.202	20	838
49.202	20	33572
49.402	20	32768
49.803	20	1092
50.303	20	804
50.403	20	804
50.503	20	32768
52.202	20	803
52.202	20	902
52.202	20	835
52.302	20	33571
52.402	20	32768
52.803	20	1092
53.303	20	803
53.403	20	803
53.503	20	32768
55.202	20	801
55.202	20	906
55.202	20	834
55.202	20	33569
55.402	20	32768
55.803	20	1092
56.303	20	801
56.403	20	801
56.503	20	32768
56.503	20	902
58.802	20	804
58.802	20	834
59.002	20	32768
61.793	20	263
61.793	20	263
61.921	20	263
62	20	786
62.657	20	257
63.409	20	257
64.833	20	257
64.833	20	604
65	20	788
66.081	20	257
68.833	20	257
73.569	20	257
77.377	20	257
78.849	20	257
80.529	20	257
81.001	20	1092
81.501	20	804
81.601	20	804
81.701	20	32768
81.701	20	906
87.82	20	800
87.82	20	838
88.02	20	32768
88.421	20	1092
88.921	20	800
89.021	20	800
89.121	20	32768
89.121	20	903
91.402	20	805
91.402	20	835
91.602	20	32768
92.003	20	1092
92.503	20	805
92.603	20	805
92.703	20	32768
92.703	20	905
95.602	20	806
95.602	20	838
95.802	20	32768
96.203	20	1092
96.703	20	806
96.803	20	806
96.903	20	32768
96.903	20	906
100.394	20	807
100.394	20	836
100.594	20	32768
100.995	20	1092
101.495	20	807
101.595	20	807
101.695	20	32768
101.695	20	902
103.537	20	803
103.537	20	836
103.737	20	32768
104.138	20	1092
104.638	20	803
104.738	20	803
104.838	20	32768
106.202	20	802
106.202	20	834
106.402	20	32768
106.803	20	1092
107.303	20	802
107.303	20	904
107.403	20	802
107.503	20	32768
107.503	20	904
108.748	20	801
108.748	20	834
108.948	20	32768
109.349	20	1092
109.849	20	801
109.949	20	801
109.949	20	902
110.049	20	32768
113.002	20	801
113.002	20	837
113.202	20	32768
116.993	20	263
117.265	20	263
117.504	20	786
117.729	20	257
118.273	20	257
118.273	20	511
119.665	20	257
120.504	20	788
121.361	20	257
123.089	20	263
123.601	20	257
125.089	20	257
126.785	20	257
129.441	20	257
131.073	20	257
132.529	20	257
133.521	20	263
134.785	20	257
135.681	20	257
136.505	20	1092
137.005	20	801
137.105	20	801
137.105	20	903
137.205	20	32768
142.402	20	805
142.402	20	836
142.602	20	32768
143.003	20	1092
143.503	20	805
143.603	20	805
143.603	20	902
143.703	20	32768
146.402	20	804
146.402	20	837
146.602	20	32768
147.003	20	1092
147.503	20	804
147.603	20	804
147.703	20	32768
150.215	20	802
150.215	20	836
150.415	20	32768
150.816	20	1092
150.816	20	902
151.316	20	802
151.416	20	802
151.416	20	904
151.516	20	32768
153.402	20	806
153.402	20	833
153.602	20	32768
154.003	20	1092
154.503	20	806
154.603	20	806
154.603	20	901
154.703	20	32768
157.946	20	803
157.946	20	834
158.146	20	32768
158.547	20	1092
159.047	20	803
159.147	20	803
159.147	20	905
159.247	20	32768
161.802	20	800
161.802	20	834
162.002	20	32768
162.403	20	1092
162.903	20	800
163.003	20	800
163.003	20	904
163.103	20	32768
165.202	20	807
165.202	20	835
165.402	20	32768
165.803	20	1092
166.303	20	807
166.303	20	902
166.403	20	807
166.503	20	32768
168.602	20	805
168.602	20	834
168.802	20	32768
171.009	20	263
171.009	20	419
171.356	20	786
172.241	20	257
174.356	20	788
175.217	20	257
176.257	20	257
177.505	20	257
179.153	20	257
181.585	20	257
183.089	20	257
186.193	20	257
187.137	20	257
190.225	20	257
190.357	20	1092
190.857	20	805
190.857	20	902
190.957	20	805
191.057	20	32768
194.802	20	803
194.802	20	836
195.002	20	32768
195.403	20	1092
195.903	20	803
195.903	20	902
