onset	duration	trial_type
2.241	20	263
2.375	20	786
5.375	20	788
5.375	20	498
20.545	20	257
21.376	20	1092
21.976	20	802
21.976	20	905
22.076	20	32768
27.402	20	804
27.402	20	901
27.402	20	833
27.402	20	33572
27.602	20	32768
28.003	20	1092
28.503	20	804
28.603	20	804
28.703	20	32768
30.602	20	801
30.602	20	907
30.602	20	836
30.702	20	33569
30.802	20	32768
31.203	20	1092
31.703	20	801
31.803	20	801
31.903	20	32768
33.913	20	807
33.913	20	904
33.913	20	833
33.913	20	33575
34.113	20	32768
34.514	20	1092
35.014	20	807
35.114	20	807
35.214	20	32768
37.999	20	800
37.999	20	908
37.999	20	837
38.099	20	33568
38.199	20	32768
38.6	20	1092
39.1	20	800
39.2	20	800
39.3	20	32768
41.602	20	803
41.602	20	901
41.602	20	841
41.602	20	33571
41.802	20	32768
42.203	20	1092
42.703	20	803
42.803	20	803
42.903	20	32768
44.631	20	806
44.631	20	901
44.631	20	833
44.731	20	33574
44.831	20	32768
45.232	20	1092
45.732	20	806
45.832	20	806
45.932	20	32768
47.467	20	805
47.467	20	909
47.467	20	839
47.467	20	33573
47.667	20	32768
48.068	20	1092
48.568	20	805
48.668	20	805
48.768	20	32768
48.768	20	902
50.606	20	803
50.606	20	840
50.806	20	32768
53.505	20	263
53.569	20	263
53.633	20	263
53.804	20	786
53.804	20	526
56.804	20	788
72.805	20	1092
73.305	20	803
73.405	20	803
73.505	20	32768
73.505	20	902
83.707	20	800
83.707	20	836
83.907	20	32768
84.308	20	1092
84.808	20	800
84.908	20	800
85.008	20	32768
85.008	20	901
90.002	20	805
90.002	20	833
90.202	20	32768
90.603	20	1092
91.103	20	805
91.203	20	805
91.303	20	32768
91.303	20	905
93.602	20	807
93.602	20	834
93.802	20	32768
94.203	20	1092
94.703	20	807
94.803	20	807
94.903	20	32768
94.903	20	902
100.402	20	806
100.402	20	838
100.602	20	32768
101.003	20	1092
101.503	20	806
101.603	20	806
101.703	20	32768
101.703	20	903
103.89	20	801
103.89	20	835
104.09	20	32768
104.491	20	1092
104.991	20	801
105.091	20	801
105.191	20	32768
108.202	20	802
108.202	20	834
108.402	20	32768
108.803	20	1092
109.303	20	802
109.303	20	906
109.403	20	802
109.503	20	32768
109.503	20	904
116.402	20	804
116.402	20	834
116.602	20	32768
117.003	20	1092
117.503	20	804
117.603	20	804
117.703	20	32768
121.254	20	802
121.254	20	837
121.454	20	32768
125.201	20	263
125.393	20	263
125.441	20	263
125.441	20	593
125.756	20	786
128.756	20	788
144.757	20	1092
144.757	20	905
145.257	20	802
145.357	20	802
145.357	20	908
145.457	20	32768
148.802	20	800
148.802	20	833
149.002	20	32768
149.403	20	1092
149.903	20	800
150.003	20	800
150.003	20	902
150.103	20	32768
152.602	20	806
152.602	20	837
152.802	20	32768
153.203	20	1092
153.703	20	806
153.803	20	806
153.803	20	901
153.903	20	32768
155.602	20	803
155.602	20	838
155.802	20	32768
156.203	20	1092
156.703	20	803
156.803	20	803
156.803	20	905
156.903	20	32768
158.602	20	805
158.602	20	833
158.802	20	32768
159.203	20	1092
159.703	20	805
159.803	20	805
159.803	20	901
159.903	20	32768
162.002	20	804
162.002	20	840
162.202	20	32768
162.603	20	1092
163.103	20	804
163.203	20	804
163.203	20	906
163.303	20	32768
165.202	20	801
165.202	20	836
165.402	20	32768
165.803	20	1092
166.303	20	801
166.403	20	801
166.403	20	904
166.503	20	32768
169.602	20	807
169.602	20	834
169.802	20	32768
170.203	20	1092
170.703	20	807
170.803	20	807
170.903	20	32768
173.202	20	802
173.202	20	837
173.402	20	32768
175.617	20	263
175.729	20	263
175.857	20	263
175.956	20	786
175.956	20	595
178.257	20	263
178.689	20	259
178.956	20	788
178.956	20	905
194.957	20	1092
195.457	20	802
195.457	20	902
195.557	20	802
195.657	20	32768
198.094	20	806
198.094	20	834
198.294	20	32768
198.695	20	1092
199.195	20	806
199.195	20	902
199.295	20	806
199.395	20	32768
200.802	20	803
