onset	duration	trial_type
3.393	20	263
3.535	20	786
6.535	20	788
6.535	20	317
12.417	20	263
20.385	20	257
22.536	20	1092
23.136	20	804
23.136	20	906
23.236	20	32768
31.287	20	806
31.287	20	902
31.287	20	834
31.287	20	33574
31.487	20	32768
31.888	20	1092
32.388	20	806
32.488	20	806
32.588	20	32768
37.457	20	801
37.457	20	906
37.457	20	838
37.557	20	33569
37.657	20	32768
38.058	20	1092
38.558	20	801
38.658	20	801
38.758	20	32768
42.292	20	805
42.292	20	904
42.292	20	834
42.292	20	33573
42.492	20	32768
42.893	20	1092
43.393	20	805
43.493	20	805
43.593	20	32768
47.952	20	800
47.952	20	903
47.952	20	835
48.052	20	33568
48.152	20	32768
48.553	20	1092
49.053	20	800
49.153	20	800
49.253	20	32768
55.732	20	802
55.732	20	908
55.732	20	836
55.732	20	33570
55.932	20	32768
56.333	20	1092
56.833	20	802
56.933	20	802
57.033	20	32768
62.392	20	803
62.392	20	906
62.392	20	838
62.492	20	33571
62.592	20	32768
62.993	20	1092
63.493	20	803
63.593	20	803
63.693	20	32768
70.452	20	807
70.452	20	902
70.452	20	838
70.452	20	33575
70.652	20	32768
71.053	20	1092
71.553	20	807
71.653	20	807
71.753	20	32768
71.753	20	902
74.267	20	805
74.267	20	840
74.467	20	32768
78.499	20	786
78.625	20	257
78.737	20	259
79.361	20	257
81.233	20	257
81.233	20	309
81.499	20	788
90.353	20	263
96.913	20	257
97.5	20	1092
98	20	805
98.1	20	805
98.2	20	32768
101.138	20	804
101.138	20	833
101.338	20	32768
101.739	20	1092
102.239	20	804
102.239	20	908
102.339	20	804
102.439	20	32768
102.439	20	908
111.672	20	802
111.672	20	835
111.872	20	32768
112.273	20	1092
112.773	20	802
112.873	20	802
112.973	20	32768
112.973	20	907
115.227	20	803
115.227	20	839
115.427	20	32768
115.828	20	1092
116.328	20	803
116.428	20	803
116.528	20	32768
116.528	20	901
119.327	20	800
119.327	20	840
119.527	20	32768
119.928	20	1092
120.428	20	800
120.528	20	800
120.628	20	32768
120.628	20	903
122.537	20	807
122.537	20	834
122.737	20	32768
123.138	20	1092
123.638	20	807
123.738	20	807
123.838	20	32768
123.838	20	904
125.957	20	801
125.957	20	840
126.157	20	32768
126.558	20	1092
127.058	20	801
127.158	20	801
127.258	20	32768
127.258	20	903
130.002	20	806
130.002	20	835
130.202	20	32768
130.603	20	1092
131.103	20	806
131.203	20	806
131.203	20	902
131.303	20	32768
135.607	20	802
135.607	20	836
135.807	20	32768
135.807	20	459
138.854	20	786
141.854	20	788
141.857	20	257
157.249	20	263
157.855	20	1092
158.355	20	802
158.455	20	802
158.455	20	907
158.555	20	32768
161.362	20	807
161.362	20	833
161.562	20	32768
161.963	20	1092
162.463	20	807
162.563	20	807
162.563	20	906
162.663	20	32768
165.327	20	801
165.327	20	834
165.527	20	32768
165.928	20	1092
166.428	20	801
166.528	20	801
166.528	20	908
166.628	20	32768
170.062	20	800
170.062	20	833
170.262	20	32768
170.663	20	1092
171.163	20	800
171.263	20	800
171.263	20	901
171.363	20	32768
173.087	20	806
173.087	20	839
173.287	20	32768
173.688	20	1092
174.188	20	806
174.288	20	806
174.288	20	907
174.388	20	32768
176.337	20	805
176.337	20	838
176.537	20	32768
176.938	20	1092
177.438	20	805
177.538	20	805
177.638	20	32768
180.382	20	804
180.382	20	840
180.582	20	32768
180.983	20	1092
180.983	20	901
181.483	20	804
181.583	20	804
181.583	20	901
