onset	duration	trial_type
3.089	20	259
3.169	20	259
3.433	20	786
3.633	20	259
3.649	20	259
3.857	20	259
4.097	20	257
4.561	20	259
4.929	20	259
4.977	20	259
4.993	20	259
5.073	20	259
5.121	20	259
5.217	20	259
6.433	20	788
6.433	20	357
16.497	20	259
22.434	20	1092
23.034	20	801
23.034	20	907
23.134	20	32768
27.827	20	804
27.827	20	909
27.827	20	835
27.827	20	33572
28.027	20	32768
28.428	20	1092
28.928	20	804
29.028	20	804
29.128	20	32768
31.614	20	806
31.614	20	903
31.614	20	835
31.714	20	33574
31.814	20	32768
32.215	20	1092
32.715	20	806
32.815	20	806
32.915	20	32768
34.997	20	807
34.997	20	903
34.997	20	839
34.997	20	33575
35.197	20	32768
35.598	20	1092
36.098	20	807
36.198	20	807
36.298	20	32768
37.912	20	800
37.912	20	902
37.912	20	841
38.012	20	33568
38.112	20	32768
38.513	20	1092
39.013	20	800
39.113	20	800
39.213	20	32768
40.807	20	805
40.807	20	902
40.807	20	834
40.807	20	33573
41.007	20	32768
41.408	20	1092
41.908	20	805
42.008	20	805
42.108	20	32768
43.062	20	802
43.062	20	909
43.062	20	834
43.162	20	33570
43.262	20	32768
43.663	20	1092
44.163	20	802
44.263	20	802
44.363	20	32768
46.057	20	803
46.057	20	907
46.057	20	839
46.057	20	33571
46.257	20	32768
46.658	20	1092
47.158	20	803
47.258	20	803
47.358	20	32768
47.358	20	902
48.972	20	800
48.972	20	841
49.172	20	32768
53.367	20	786
54.049	20	259
54.081	20	257
54.449	20	259
54.769	20	259
54.769	20	259
54.817	20	259
54.817	20	259
54.849	20	259
54.849	20	259
54.849	20	487
56.367	20	788
72.368	20	1092
72.868	20	800
72.968	20	800
73.068	20	32768
74.857	20	801
74.857	20	834
75.057	20	32768
75.458	20	1092
75.958	20	801
75.958	20	907
76.058	20	801
76.158	20	32768
76.158	20	908
77.672	20	804
77.672	20	835
77.872	20	32768
78.273	20	1092
78.773	20	804
78.873	20	804
78.973	20	32768
78.973	20	902
80.767	20	805
80.767	20	835
80.967	20	32768
81.368	20	1092
81.868	20	805
81.968	20	805
82.068	20	32768
82.068	20	903
83.637	20	807
83.637	20	834
83.837	20	32768
84.238	20	1092
84.738	20	807
84.838	20	807
84.938	20	32768
84.938	20	903
86.757	20	806
86.757	20	840
86.957	20	32768
87.358	20	1092
87.858	20	806
87.958	20	806
88.058	20	32768
88.058	20	904
89.522	20	803
89.522	20	839
89.722	20	32768
90.123	20	1092
90.623	20	803
90.723	20	803
90.823	20	32768
90.823	20	908
92.348	20	802
92.348	20	840
92.548	20	32768
92.949	20	1092
93.449	20	802
93.549	20	802
93.549	20	909
93.649	20	32768
96.232	20	806
96.232	20	836
96.432	20	32768
100.673	20	257
100.673	20	512
100.716	20	786
103.716	20	788
119.361	20	259
119.361	20	259
119.441	20	257
119.717	20	1092
120.217	20	806
120.317	20	806
120.317	20	903
120.417	20	32768
