onset	duration	trial_type
3.393	20	263
3.457	20	263
3.633	20	260
3.703	20	786
6.145	20	263
6.703	20	788
6.703	20	304
22.704	20	1092
23.304	20	800
23.304	20	902
23.404	20	32768
28.163	20	805
28.163	20	902
28.163	20	834
28.163	20	33573
28.363	20	32768
28.764	20	1092
29.264	20	805
29.364	20	805
29.464	20	32768
34.307	20	802
34.307	20	907
34.307	20	834
34.407	20	33570
34.507	20	32768
34.908	20	1092
35.408	20	802
35.508	20	802
35.608	20	32768
40.477	20	804
40.477	20	907
40.477	20	835
40.477	20	33572
40.677	20	32768
41.078	20	1092
41.578	20	804
41.678	20	804
41.778	20	32768
45.057	20	806
45.057	20	904
45.057	20	837
45.157	20	33574
45.257	20	32768
45.658	20	1092
46.158	20	806
46.258	20	806
46.358	20	32768
48.977	20	801
48.977	20	904
48.977	20	836
48.977	20	33569
49.177	20	32768
49.578	20	1092
50.078	20	801
50.178	20	801
50.278	20	32768
52.992	20	803
52.992	20	903
52.992	20	836
53.092	20	33571
53.192	20	32768
53.593	20	1092
54.093	20	803
54.193	20	803
54.293	20	32768
56.862	20	807
56.862	20	905
56.862	20	839
56.862	20	33575
57.062	20	32768
57.463	20	1092
57.963	20	807
58.063	20	807
58.163	20	32768
58.163	20	901
60.442	20	801
60.442	20	839
60.642	20	32768
63.174	20	786
63.174	20	316
66.174	20	788
82.175	20	1092
82.675	20	801
82.775	20	801
82.875	20	32768
82.875	20	906
86.942	20	807
86.942	20	837
87.142	20	32768
87.543	20	1092
88.043	20	807
88.143	20	807
88.243	20	32768
88.243	20	901
91.907	20	803
91.907	20	834
92.107	20	32768
92.508	20	1092
93.008	20	803
93.108	20	803
93.208	20	32768
99.457	20	800
99.457	20	834
99.657	20	32768
100.058	20	1092
100.558	20	800
100.558	20	905
100.658	20	800
100.758	20	32768
100.758	20	902
105.167	20	802
105.167	20	834
105.367	20	32768
105.768	20	1092
106.268	20	802
106.368	20	802
106.468	20	32768
106.468	20	902
113.077	20	805
113.077	20	833
113.277	20	32768
113.678	20	1092
114.178	20	805
114.278	20	805
114.378	20	32768
114.378	20	905
121.217	20	806
121.217	20	837
121.417	20	32768
121.818	20	1092
122.318	20	806
122.418	20	806
122.518	20	32768
122.518	20	902
125.057	20	804
125.057	20	833
125.257	20	32768
125.658	20	1092
126.158	20	804
126.258	20	804
126.258	20	905
126.358	20	32768
129.487	20	807
129.487	20	838
129.687	20	32768
133.297	20	263
133.297	20	319
133.358	20	786
136.358	20	788
152.359	20	1092
152.859	20	807
152.959	20	807
152.959	20	902
153.059	20	32768
156.497	20	801
156.497	20	835
156.697	20	32768
157.098	20	1092
157.598	20	801
157.698	20	801
157.698	20	902
157.798	20	32768
164.867	20	804
164.867	20	837
165.067	20	32768
165.468	20	1092
165.968	20	804
166.068	20	804
166.068	20	905
166.168	20	32768
170.292	20	806
170.292	20	837
170.492	20	32768
170.893	20	1092
171.393	20	806
171.493	20	806
171.593	20	32768
174.542	20	800
174.542	20	834
174.742	20	32768
175.143	20	1092
175.143	20	907
175.643	20	800
175.743	20	800
175.743	20	903
175.843	20	32768
179.047	20	802
179.047	20	839
179.247	20	32768
179.648	20	1092
180.148	20	802
180.248	20	802
180.248	20	902
180.348	20	32768
182.477	20	803
182.477	20	834
182.677	20	32768
183.078	20	1092
183.578	20	803
183.678	20	803
183.678	20	907
183.778	20	32768
186.662	20	805
186.662	20	834
186.862	20	32768
187.263	20	1092
187.763	20	805
187.763	20	903
187.863	20	805
187.963	20	32768
189.442	20	803
189.442	20	839
189.642	20	32768
189.642	20	324
191.313	20	259
192.862	20	786
195.862	20	788
211.863	20	1092
212.363	20	803
212.363	20	903
212.463	20	803
212.563	20	32768
218.372	20	806
218.372	20	835
218.572	20	32768
218.973	20	1092
219.473	20	806
219.473	20	907
219.573	20	806
219.673	20	32768
221.442	20	802
221.442	20	838
221.642	20	32768
222.043	20	1092
222.543	20	802
222.543	20	904
222.643	20	802
222.743	20	32768
229.402	20	807
229.402	20	835
229.602	20	32768
230.003	20	1092
230.503	20	807
230.503	20	906
230.603	20	807
230.703	20	32768
234.012	20	801
234.012	20	839
234.212	20	32768
234.613	20	1092
235.113	20	801
235.113	20	903
235.213	20	801
235.313	20	32768
238.212	20	804
238.212	20	835
238.412	20	32768
238.813	20	1092
239.313	20	804
239.413	20	804
239.513	20	32768
242.792	20	800
242.792	20	836
242.992	20	32768
242.992	20	906
243.393	20	1092
243.893	20	800
243.893	20	905
243.993	20	800
244.093	20	32768
248.627	20	805
248.627	20	837
248.827	20	32768
249.228	20	1092
249.228	20	904
249.728	20	805
249.828	20	805
249.928	20	32768
251.292	20	801
251.292	20	341
251.292	20	838
251.492	20	32768
255.85	20	786
258.85	20	788
265.345	20	257
274.851	20	1092
274.851	20	907
275.351	20	801
275.451	20	801
275.551	20	32768
282.112	20	805
282.112	20	836
282.312	20	32768
282.713	20	1092
282.713	20	902
