onset	duration	trial_type
3.313	20	263
3.329	20	263
3.445	20	786
6.445	20	788
6.445	20	387
22.446	20	1092
23.046	20	801
23.046	20	907
23.146	20	32768
26.972	20	803
26.972	20	904
26.972	20	836
26.972	20	33571
27.172	20	32768
27.573	20	1092
28.073	20	803
28.173	20	803
28.273	20	32768
30.442	20	807
30.442	20	903
30.442	20	839
30.542	20	33575
30.642	20	32768
31.043	20	1092
31.543	20	807
31.643	20	807
31.743	20	32768
33.742	20	800
33.742	20	905
33.742	20	840
33.742	20	33568
33.942	20	32768
34.343	20	1092
34.843	20	800
34.943	20	800
35.043	20	32768
38.557	20	806
38.557	20	904
38.557	20	838
38.657	20	33574
38.757	20	32768
39.158	20	1092
39.658	20	806
39.758	20	806
39.858	20	32768
42.18	20	804
42.18	20	907
42.18	20	839
42.18	20	33572
42.38	20	32768
42.781	20	1092
43.281	20	804
43.381	20	804
43.481	20	32768
46.282	20	805
46.282	20	906
46.282	20	835
46.382	20	33573
46.482	20	32768
46.883	20	1092
47.383	20	805
47.483	20	805
47.583	20	32768
51.457	20	802
51.457	20	908
51.457	20	837
51.457	20	33570
51.657	20	32768
52.058	20	1092
52.558	20	802
52.658	20	802
52.758	20	32768
55.147	20	801
55.147	20	836
55.347	20	32768
59.313	20	263
59.441	20	263
59.464	20	786
59.464	20	436
62.464	20	788
78.465	20	1092
78.965	20	801
78.965	20	906
79.065	20	801
79.165	20	32768
79.165	20	905
83.792	20	800
83.792	20	837
83.992	20	32768
84.393	20	1092
84.893	20	800
84.993	20	800
85.093	20	32768
85.093	20	905
88.117	20	806
88.117	20	836
88.317	20	32768
88.718	20	1092
89.218	20	806
89.318	20	806
89.418	20	32768
89.418	20	907
90.782	20	804
90.782	20	838
90.982	20	32768
91.383	20	1092
91.883	20	804
91.983	20	804
92.083	20	32768
92.083	20	904
93.777	20	805
93.777	20	836
93.977	20	32768
94.378	20	1092
94.878	20	805
94.978	20	805
95.078	20	32768
95.078	20	904
98.202	20	807
98.202	20	837
98.402	20	32768
98.803	20	1092
99.303	20	807
99.403	20	807
99.503	20	32768
99.503	20	906
103.423	20	802
103.423	20	838
103.623	20	32768
104.024	20	1092
104.524	20	802
104.624	20	802
104.724	20	32768
104.724	20	905
108.727	20	803
108.727	20	837
108.927	20	32768
109.328	20	1092
109.828	20	803
109.928	20	803
109.928	20	907
110.028	20	32768
111.872	20	800
111.872	20	839
112.072	20	32768
115.153	20	263
115.153	20	482
115.237	20	786
118.237	20	788
134.238	20	1092
134.738	20	800
134.838	20	800
134.938	20	32768
137.397	20	801
137.397	20	839
137.597	20	32768
137.998	20	1092
137.998	20	906
138.498	20	801
138.598	20	801
138.598	20	906
138.698	20	32768
143.722	20	807
143.722	20	836
143.922	20	32768
144.323	20	1092
144.823	20	807
144.923	20	807
144.923	20	907
145.023	20	32768
148.047	20	805
148.047	20	837
148.247	20	32768
148.648	20	1092
149.148	20	805
149.248	20	805
149.248	20	904
149.348	20	32768
152.453	20	804
152.453	20	839
152.653	20	32768
