onset	duration	trial_type
1.553	20	263
1.745	20	257
2.041	20	786
5.041	20	788
5.041	20	362
21.042	20	1092
21.642	20	804
21.642	20	902
21.742	20	32768
36.482	20	806
36.482	20	903
36.482	20	838
36.482	20	33574
36.682	20	32768
37.083	20	1092
37.583	20	806
37.683	20	806
37.783	20	32768
41.202	20	802
41.202	20	906
41.202	20	838
41.302	20	33570
41.402	20	32768
41.803	20	1092
42.303	20	802
42.403	20	802
42.503	20	32768
46.202	20	801
46.202	20	906
46.202	20	834
46.202	20	33569
46.402	20	32768
46.803	20	1092
47.303	20	801
47.403	20	801
47.503	20	32768
51.602	20	805
51.602	20	907
51.602	20	835
51.702	20	33573
51.802	20	32768
52.203	20	1092
52.703	20	805
52.803	20	805
52.903	20	32768
55.202	20	803
55.202	20	902
55.202	20	839
55.202	20	33571
55.402	20	32768
55.803	20	1092
56.303	20	803
56.403	20	803
56.503	20	32768
63.522	20	800
63.522	20	907
63.522	20	834
63.622	20	33568
63.722	20	32768
64.123	20	1092
64.623	20	800
64.723	20	800
64.823	20	32768
68.402	20	807
68.402	20	906
68.402	20	839
68.402	20	33575
68.602	20	32768
69.003	20	1092
69.503	20	807
69.603	20	807
69.703	20	32768
69.703	20	908
74.602	20	802
74.602	20	838
74.802	20	32768
77.345	20	257
77.473	20	263
77.661	20	786
78.929	20	263
78.929	20	463
80.661	20	788
96.662	20	1092
97.162	20	802
97.262	20	802
97.362	20	32768
97.362	20	902
104.202	20	805
104.202	20	835
104.402	20	32768
104.803	20	1092
105.303	20	805
105.403	20	805
105.503	20	32768
105.503	20	908
112.002	20	801
112.002	20	834
112.202	20	32768
112.603	20	1092
113.103	20	801
113.203	20	801
113.303	20	32768
113.303	20	903
118.852	20	803
118.852	20	836
119.052	20	32768
119.453	20	1092
119.953	20	803
120.053	20	803
120.153	20	32768
125.15	20	804
125.15	20	834
125.35	20	32768
125.751	20	1092
126.251	20	804
126.251	20	902
126.351	20	804
126.451	20	32768
126.451	20	904
129.46	20	806
129.46	20	833
129.66	20	32768
130.061	20	1092
130.561	20	806
130.661	20	806
130.761	20	32768
130.761	20	901
136.202	20	807
136.202	20	840
136.402	20	32768
136.803	20	1092
137.303	20	807
137.403	20	807
137.503	20	32768
137.503	20	902
140.463	20	800
140.463	20	840
140.663	20	32768
141.064	20	1092
