onset	duration	trial_type
3.703	20	786
3.889	20	257
6.703	20	788
6.703	20	306
6.865	20	257
8.081	20	257
8.881	20	257
10.625	20	257
12.881	20	257
22.704	20	1092
23.304	20	800
23.304	20	903
23.404	20	32768
28.402	20	803
28.402	20	905
28.402	20	836
28.402	20	33571
28.602	20	32768
29.003	20	1092
29.503	20	803
29.603	20	803
29.703	20	32768
31.602	20	807
31.602	20	902
31.602	20	835
31.702	20	33575
31.802	20	32768
32.203	20	1092
32.703	20	807
32.803	20	807
32.903	20	32768
35.202	20	805
35.202	20	904
35.202	20	835
35.202	20	33573
35.402	20	32768
35.803	20	1092
36.303	20	805
36.403	20	805
36.503	20	32768
38.402	20	801
38.402	20	903
38.402	20	835
38.502	20	33569
38.602	20	32768
39.003	20	1092
39.503	20	801
39.603	20	801
39.703	20	32768
42.602	20	804
42.602	20	903
42.602	20	835
42.602	20	33572
42.802	20	32768
43.203	20	1092
43.703	20	804
43.803	20	804
43.903	20	32768
46.089	20	802
46.089	20	903
46.089	20	834
46.189	20	33570
46.289	20	32768
46.69	20	1092
47.19	20	802
47.29	20	802
47.39	20	32768
52.002	20	806
52.002	20	903
52.002	20	837
52.002	20	33574
52.202	20	32768
52.603	20	1092
53.103	20	806
53.203	20	806
53.303	20	32768
53.303	20	903
55.578	20	806
55.578	20	835
55.778	20	32768
58.31	20	786
58.31	20	470
61.31	20	788
63.665	20	257
64.033	20	257
77.311	20	1092
77.811	20	806
77.911	20	806
78.011	20	32768
78.011	20	904
82.202	20	807
82.202	20	839
82.402	20	32768
82.803	20	1092
83.303	20	807
83.403	20	807
83.503	20	32768
83.503	20	904
85.202	20	805
85.202	20	838
85.402	20	32768
85.803	20	1092
86.303	20	805
86.403	20	805
86.503	20	32768
86.503	20	903
88.602	20	803
88.602	20	837
88.802	20	32768
89.203	20	1092
89.703	20	803
89.803	20	803
89.903	20	32768
89.903	20	905
92.202	20	804
92.202	20	837
92.402	20	32768
92.803	20	1092
93.303	20	804
93.403	20	804
93.503	20	32768
98.802	20	800
98.802	20	836
99.002	20	32768
99.403	20	1092
99.903	20	800
99.903	20	905
100.003	20	800
100.103	20	32768
100.103	20	907
102.002	20	801
102.002	20	836
102.202	20	32768
102.603	20	1092
103.103	20	801
103.203	20	801
103.303	20	32768
103.303	20	906
105.602	20	802
105.602	20	835
105.802	20	32768
106.203	20	1092
106.703	20	802
106.803	20	802
106.803	20	903
106.903	20	32768
108.802	20	807
108.802	20	835
109.002	20	32768
112.673	20	786
112.673	20	423
114.721	20	257
115.673	20	788
123.329	20	257
131.674	20	1092
132.174	20	807
132.274	20	807
132.274	20	907
132.374	20	32768
134.013	20	802
134.013	20	839
134.213	20	32768
134.614	20	1092
135.114	20	802
135.214	20	802
135.314	20	32768
138.202	20	800
138.202	20	837
138.402	20	32768
138.803	20	1092
138.803	20	902
139.303	20	800
139.403	20	800
139.403	20	902
139.503	20	32768
141.802	20	805
141.802	20	834
142.002	20	32768
142.403	20	1092
142.903	20	805
143.003	20	805
143.003	20	906
143.103	20	32768
144.843	20	801
144.843	20	834
145.043	20	32768
145.444	20	1092
145.944	20	801
146.044	20	801
146.044	20	905
146.144	20	32768
148.02	20	803
148.02	20	835
148.22	20	32768
148.621	20	1092
149.121	20	803
149.221	20	803
149.221	20	908
149.321	20	32768
162.202	20	804
162.202	20	840
162.402	20	32768
162.803	20	1092
163.303	20	804
163.403	20	804
163.403	20	903
163.503	20	32768
166.002	20	806
166.002	20	835
166.202	20	32768
166.603	20	1092
167.103	20	806
167.203	20	806
167.303	20	32768
168.802	20	800
168.802	20	838
169.002	20	32768
171.969	20	257
171.969	20	591
172.222	20	786
174.161	20	257
175.222	20	788
180.161	20	257
180.625	20	257
189.121	20	257
189.121	20	906
191.223	20	1092
191.723	20	800
191.723	20	903
191.823	20	800
191.923	20	32768
195.602	20	802
195.602	20	836
195.802	20	32768
196.203	20	1092
196.703	20	802
196.703	20	904
196.803	20	802
196.903	20	32768
199.202	20	805
199.202	20	837
199.402	20	32768
199.803	20	1092
200.303	20	805
200.303	20	905
200.403	20	805
200.503	20	32768
202.445	20	806
202.445	20	838
202.645	20	32768
203.046	20	1092
203.546	20	806
203.546	20	905
203.646	20	806
203.746	20	32768
205.435	20	803
205.435	20	836
205.635	20	32768
206.036	20	1092
206.536	20	803
206.536	20	903
206.636	20	803
206.736	20	32768
208.814	20	804
208.814	20	835
209.014	20	32768
209.415	20	1092
209.915	20	804
209.915	20	904
210.015	20	804
210.115	20	32768
211.552	20	801
211.552	20	836
211.752	20	32768
212.153	20	1092
212.653	20	801
212.653	20	904
212.753	20	801
212.853	20	32768
215.802	20	807
215.802	20	837
216.002	20	32768
216.403	20	1092
216.903	20	807
217.003	20	807
217.103	20	32768
219.802	20	800
219.802	20	603
219.802	20	835
220.002	20	32768
224.36	20	786
227.36	20	788
227.36	20	902
233.585	20	257
243.361	20	1092
243.361	20	903
243.861	20	800
243.961	20	800
244.061	20	32768
247.202	20	803
247.202	20	835
247.402	20	32768
247.803	20	1092
247.803	20	907
248.303	20	803
248.403	20	803
248.503	20	32768
250.402	20	804
250.402	20	839
250.602	20	32768
251.003	20	1092
251.003	20	904
251.503	20	804
251.603	20	804
251.703	20	32768
253.893	20	806
253.893	20	835
254.093	20	32768
254.494	20	1092
254.494	20	903
254.994	20	806
255.094	20	806
255.194	20	32768
259.802	20	807
259.802	20	836
260.002	20	32768
260.403	20	1092
260.403	20	903
260.903	20	807
261.003	20	807
261.103	20	32768
262.802	20	805
262.802	20	836
263.002	20	32768
263.403	20	1092
263.403	20	904
263.903	20	805
264.003	20	805
264.103	20	32768
267.202	20	802
267.202	20	834
267.402	20	32768
267.803	20	1092
267.803	20	904
268.303	20	802
268.403	20	802
268.503	20	32768
270.002	20	801
270.002	20	835
270.202	20	32768
270.202	20	906
270.603	20	1092
271.103	20	801
271.203	20	801
271.303	20	32768
277.802	20	807
277.802	20	836
278.002	20	32768
278.002	20	448
280.894	20	786
281.249	20	257
283.297	20	257
283.777	20	257
283.894	20	788
287.345	20	257
289.569	20	257
295.489	20	257
295.489	20	905
299.895	20	1092
300.395	20	807
300.495	20	807
300.595	20	32768
303.602	20	805
303.602	20	836
303.802	20	32768
304.203	20	1092
304.703	20	805
304.803	20	805
304.903	20	32768
306.829	20	800
306.829	20	906
306.829	20	838
307.029	20	32768
307.029	20	903
307.43	20	1092
307.93	20	800
308.03	20	800
308.13	20	32768
309.802	20	803
309.802	20	837
310.002	20	32768
310.002	20	904
310.403	20	1092
310.903	20	803
311.003	20	803
311.103	20	32768
312.895	20	802
312.895	20	835
313.095	20	32768
313.095	20	904
313.496	20	1092
313.996	20	802
314.096	20	802
314.196	20	32768
315.402	20	801
315.402	20	835
315.602	20	32768
315.602	20	908
316.003	20	1092
316.503	20	801
316.603	20	801
316.703	20	32768
318.802	20	806
318.802	20	840
319.002	20	32768
319.002	20	903
319.403	20	1092
319.903	20	806
320.003	20	806
320.103	20	32768
322.602	20	804
322.602	20	836
322.802	20	32768
322.802	20	905
323.203	20	1092
