onset	duration	trial_type
2.041	20	786
2.561	20	257
5.041	20	788
5.041	20	362
6.385	20	257
6.657	20	257
7.665	20	257
8.865	20	257
12.529	20	257
17.505	20	257
18.321	20	257
21.042	20	1092
21.642	20	804
21.642	20	901
21.742	20	32768
30.002	20	806
30.002	20	902
30.002	20	838
30.002	20	33574
30.202	20	32768
30.603	20	1092
31.103	20	806
31.203	20	806
31.303	20	32768
37.402	20	802
37.402	20	904
37.402	20	836
37.502	20	33570
37.602	20	32768
38.003	20	1092
38.503	20	802
38.603	20	802
38.703	20	32768
42.202	20	801
42.202	20	904
42.202	20	833
42.202	20	33569
42.402	20	32768
42.803	20	1092
43.303	20	801
43.403	20	801
43.503	20	32768
49.802	20	805
49.802	20	907
49.802	20	834
49.902	20	33573
50.002	20	32768
50.403	20	1092
50.903	20	805
51.003	20	805
51.103	20	32768
54.237	20	803
54.237	20	901
54.237	20	840
54.237	20	33571
54.437	20	32768
54.838	20	1092
55.338	20	803
55.438	20	803
55.538	20	32768
58.802	20	800
58.802	20	908
58.802	20	833
58.902	20	33568
59.002	20	32768
59.403	20	1092
59.903	20	800
60.003	20	800
60.103	20	32768
64.802	20	807
64.802	20	906
64.802	20	839
64.802	20	33575
65.002	20	32768
65.403	20	1092
65.903	20	807
66.003	20	807
66.103	20	32768
66.103	20	908
69.402	20	802
69.402	20	836
69.602	20	32768
72.461	20	786
73.121	20	257
73.697	20	257
74.657	20	257
74.657	20	463
75.461	20	788
75.521	20	257
85.761	20	257
91.462	20	1092
91.962	20	802
92.062	20	802
92.162	20	32768
92.162	20	902
95.602	20	805
95.602	20	835
95.802	20	32768
96.203	20	1092
96.703	20	805
96.803	20	805
96.903	20	32768
96.903	20	905
99.602	20	801
99.602	20	834
99.802	20	32768
100.203	20	1092
100.703	20	801
100.803	20	801
100.903	20	32768
100.903	20	903
103.802	20	803
103.802	20	834
104.002	20	32768
104.403	20	1092
104.903	20	803
105.003	20	803
105.103	20	32768
108.402	20	804
