onset	duration	trial_type
3.975	20	786
6.975	20	788
6.975	20	505
22.976	20	1092
23.576	20	805
23.576	20	905
23.676	20	32768
30.622	20	801
30.622	20	905
30.622	20	838
30.622	20	33569
30.822	20	32768
31.223	20	1092
31.723	20	801
31.823	20	801
31.923	20	32768
44.317	20	802
44.317	20	906
44.317	20	835
44.417	20	33570
44.517	20	32768
44.918	20	1092
45.418	20	802
45.518	20	802
45.618	20	32768
51.681	20	800
51.681	20	906
51.681	20	834
51.681	20	33568
51.881	20	32768
52.282	20	1092
52.782	20	800
52.882	20	800
52.982	20	32768
59.882	20	804
59.882	20	902
59.882	20	837
59.982	20	33572
60.082	20	32768
60.483	20	1092
60.983	20	804
61.083	20	804
61.183	20	32768
67.537	20	803
67.537	20	902
67.537	20	839
67.537	20	33571
67.737	20	32768
68.138	20	1092
68.638	20	803
68.738	20	803
68.838	20	32768
73.167	20	806
73.167	20	903
73.167	20	834
73.267	20	33574
73.367	20	32768
73.768	20	1092
74.268	20	806
74.368	20	806
74.468	20	32768
82.562	20	807
82.562	20	907
82.562	20	837
82.562	20	33575
82.762	20	32768
83.163	20	1092
83.663	20	807
83.763	20	807
83.863	20	32768
88.577	20	805
88.577	20	838
88.777	20	32768
92.462	20	786
92.462	20	337
95.462	20	788
111.463	20	1092
111.963	20	805
111.963	20	905
112.063	20	805
112.163	20	32768
112.163	20	905
116.177	20	807
116.177	20	837
116.377	20	32768
116.778	20	1092
117.278	20	807
117.378	20	807
117.478	20	32768
117.478	20	905
120.807	20	800
120.807	20	838
121.007	20	32768
121.408	20	1092
121.908	20	800
122.008	20	800
122.108	20	32768
122.108	20	904
128.182	20	801
128.182	20	837
128.382	20	32768
128.783	20	1092
129.283	20	801
129.383	20	801
129.483	20	32768
129.483	20	904
132.382	20	804
132.382	20	836
132.582	20	32768
132.983	20	1092
133.483	20	804
133.583	20	804
133.683	20	32768
133.683	20	903
144.132	20	803
144.132	20	837
144.332	20	32768
144.733	20	1092
145.233	20	803
145.333	20	803
145.433	20	32768
145.433	20	904
153.502	20	806
153.502	20	836
153.702	20	32768
154.103	20	1092
154.603	20	806
154.703	20	806
154.803	20	32768
154.803	20	906
158.08	20	802
158.08	20	836
158.28	20	32768
158.681	20	1092
159.181	20	802
159.281	20	802
159.281	20	903
159.381	20	32768
165.349	20	803
165.349	20	835
165.549	20	32768
165.549	20	370
169.107	20	786
172.107	20	788
188.108	20	1092
188.608	20	803
188.708	20	803
188.708	20	906
188.808	20	32768
193.872	20	806
