onset	duration	trial_type
3.445	20	786
3.713	20	257
6.445	20	788
6.445	20	436
10.561	20	260
11.681	20	263
12.065	20	263
12.113	20	263
21.153	20	257
22.446	20	1092
23.046	20	801
23.046	20	907
23.146	20	32768
26.841	20	804
26.841	20	901
26.841	20	833
26.841	20	33572
27.041	20	32768
27.442	20	1092
27.942	20	804
28.042	20	804
28.142	20	32768
30.402	20	800
30.402	20	907
30.402	20	837
30.502	20	33568
30.602	20	32768
31.003	20	1092
31.503	20	800
31.603	20	800
31.703	20	32768
34.061	20	807
34.061	20	905
34.061	20	839
34.061	20	33575
34.261	20	32768
34.662	20	1092
35.162	20	807
35.262	20	807
35.362	20	32768
37.63	20	806
37.63	20	901
37.63	20	837
37.73	20	33574
37.83	20	32768
38.231	20	1092
38.731	20	806
38.831	20	806
38.931	20	32768
40.908	20	802
40.908	20	905
40.908	20	839
40.908	20	33570
41.108	20	32768
41.509	20	1092
42.009	20	802
42.109	20	802
42.209	20	32768
43.847	20	805
43.847	20	907
43.847	20	833
43.947	20	33573
44.047	20	32768
44.448	20	1092
44.948	20	805
45.048	20	805
45.148	20	32768
47.032	20	803
47.032	20	901
47.032	20	839
47.032	20	33571
47.232	20	32768
47.633	20	1092
48.133	20	803
48.233	20	803
48.333	20	32768
48.333	20	901
50.286	20	804
50.286	20	833
50.486	20	32768
54.603	20	786
54.603	20	355
57.603	20	788
69.265	20	257
73.604	20	1092
74.104	20	804
74.204	20	804
74.304	20	32768
74.304	20	907
77.402	20	802
77.402	20	837
77.602	20	32768
78.003	20	1092
78.503	20	802
78.603	20	802
78.703	20	32768
78.703	20	903
80.802	20	800
80.802	20	833
81.002	20	32768
81.403	20	1092
81.903	20	800
82.003	20	800
82.103	20	32768
82.103	20	901
84.202	20	803
84.202	20	837
84.402	20	32768
84.803	20	1092
85.303	20	803
85.403	20	803
85.503	20	32768
85.503	20	901
87.243	20	806
87.243	20	833
87.443	20	32768
87.844	20	1092
88.344	20	806
88.444	20	806
88.544	20	32768
88.544	20	905
92.493	20	807
92.493	20	838
92.693	20	32768
93.094	20	1092
93.594	20	807
93.694	20	807
93.794	20	32768
93.794	20	905
96.002	20	805
96.002	20	839
96.202	20	32768
96.603	20	1092
97.103	20	805
97.203	20	805
97.303	20	32768
100.402	20	801
100.402	20	835
100.602	20	32768
101.003	20	1092
101.503	20	801
101.503	20	906
101.603	20	801
101.603	20	908
101.703	20	32768
103.402	20	800
103.402	20	833
103.602	20	32768
103.602	20	475
106.767	20	786
109.767	20	788
116.833	20	263
117.057	20	263
117.809	20	263
119.361	20	257
119.473	20	260
125.768	20	1092
126.268	20	800
126.368	20	800
126.368	20	908
126.468	20	32768
130.402	20	802
130.402	20	837
130.602	20	32768
131.003	20	1092
131.503	20	802
131.603	20	802
131.603	20	901
131.703	20	32768
133.202	20	804
133.202	20	833
133.402	20	32768
133.803	20	1092
134.303	20	804
134.403	20	804
134.503	20	32768
136.711	20	801
136.711	20	839
136.911	20	32768
137.312	20	1092
137.312	20	908
137.812	20	801
137.912	20	801
137.912	20	905
138.012	20	32768
139.434	20	805
139.434	20	840
139.634	20	32768
140.035	20	1092
140.535	20	805
140.635	20	805
140.635	20	901
140.735	20	32768
143.226	20	803
143.226	20	840
143.426	20	32768
143.827	20	1092
144.327	20	803
144.427	20	803
144.427	20	907
144.527	20	32768
146.402	20	807
146.402	20	833
146.602	20	32768
147.003	20	1092
147.503	20	807
147.603	20	807
147.603	20	908
147.703	20	32768
149.704	20	806
149.704	20	840
149.904	20	32768
150.305	20	1092
150.805	20	806
150.805	20	907
150.905	20	806
151.005	20	32768
152.809	20	800
152.809	20	840
153.009	20	32768
153.009	20	448
156.561	20	260
156.943	20	786
159.943	20	788
165.313	20	263
175.944	20	1092
176.444	20	800
176.444	20	901
176.544	20	800
176.644	20	32768
179.202	20	807
179.202	20	837
179.402	20	32768
179.803	20	1092
180.303	20	807
180.403	20	807
180.503	20	32768
183.402	20	801
183.402	20	837
183.602	20	32768
183.602	20	906
184.003	20	1092
184.503	20	801
184.503	20	901
184.603	20	801
184.703	20	32768
190.061	20	806
190.061	20	833
190.261	20	32768
190.662	20	1092
191.162	20	806
191.162	20	901
191.262	20	806
191.362	20	32768
193.802	20	803
193.802	20	838
194.002	20	32768
194.403	20	1092
194.903	20	803
194.903	20	905
195.003	20	803
195.103	20	32768
200.602	20	804
200.602	20	837
200.802	20	32768
201.203	20	1092
201.703	20	804
201.703	20	905
201.803	20	804
201.903	20	32768
204.802	20	802
204.802	20	833
205.002	20	32768
205.403	20	1092
205.903	20	802
205.903	20	905
206.003	20	802
206.103	20	32768
207.226	20	805
207.226	20	833
207.426	20	32768
207.827	20	1092
207.827	20	905
208.327	20	805
208.427	20	805
208.527	20	32768
211.202	20	805
211.202	20	839
211.202	20	333
211.402	20	32768
215.377	20	263
215.672	20	786
218.672	20	788
224.785	20	257
224.817	20	263
229.169	20	263
234.673	20	1092
234.673	20	901
235.173	20	805
235.273	20	805
235.373	20	32768
239.402	20	804
239.402	20	839
239.602	20	32768
240.003	20	1092
240.003	20	907
240.503	20	804
240.603	20	804
240.703	20	32768
242.002	20	807
242.002	20	839
242.202	20	32768
