onset	duration	trial_type
3.457	20	263
3.703	20	786
6.703	20	788
6.703	20	354
9.985	20	257
22.704	20	1092
23.304	20	805
23.304	20	905
23.404	20	32768
29.002	20	801
29.002	20	908
29.002	20	838
29.002	20	33569
29.202	20	32768
29.603	20	1092
30.103	20	801
30.203	20	801
30.303	20	32768
35.002	20	803
35.002	20	901
35.002	20	835
35.102	20	33571
35.202	20	32768
35.603	20	1092
36.103	20	803
36.203	20	803
36.303	20	32768
39.602	20	807
39.602	20	901
39.602	20	834
39.602	20	33575
39.802	20	32768
40.203	20	1092
40.703	20	807
40.803	20	807
40.903	20	32768
42.802	20	804
42.802	20	902
42.802	20	839
42.902	20	33572
43.002	20	32768
43.403	20	1092
43.903	20	804
44.003	20	804
44.103	20	32768
47.402	20	802
47.402	20	907
47.402	20	833
47.402	20	33570
47.602	20	32768
48.003	20	1092
48.503	20	802
48.603	20	802
48.703	20	32768
51.802	20	800
51.802	20	906
51.802	20	833
51.902	20	33568
52.002	20	32768
52.403	20	1092
52.903	20	800
53.003	20	800
53.103	20	32768
55.802	20	806
55.802	20	903
55.802	20	837
55.802	20	33574
56.002	20	32768
56.403	20	1092
56.903	20	806
57.003	20	806
57.103	20	32768
57.103	20	901
60.002	20	806
60.002	20	840
60.202	20	32768
62.417	20	263
62.734	20	786
62.753	20	257
62.753	20	394
65.734	20	788
68.113	20	257
77.585	20	257
81.735	20	1092
82.235	20	806
82.335	20	806
82.435	20	32768
82.435	20	902
89.202	20	807
89.202	20	833
89.402	20	32768
89.803	20	1092
90.303	20	807
90.403	20	807
90.503	20	32768
90.503	20	901
92.802	20	804
92.802	20	834
93.002	20	32768
93.403	20	1092
93.903	20	804
94.003	20	804
94.103	20	32768
94.103	20	901
98.047	20	801
98.047	20	834
98.247	20	32768
98.648	20	1092
99.148	20	801
99.248	20	801
99.348	20	32768
99.348	20	905
101.439	20	800
101.439	20	833
101.639	20	32768
102.04	20	1092
102.54	20	800
102.64	20	800
102.74	20	32768
102.74	20	901
106.402	20	803
