onset	duration	trial_type
3.089	20	263
3.445	20	786
6.445	20	788
6.445	20	513
18.593	20	257
22.446	20	1092
23.046	20	801
23.046	20	903
23.146	20	32768
27.932	20	804
27.932	20	906
27.932	20	833
27.932	20	33572
28.132	20	32768
28.533	20	1092
29.033	20	804
29.133	20	804
29.233	20	32768
34.387	20	800
34.387	20	905
34.387	20	833
34.487	20	33568
34.587	20	32768
34.988	20	1092
35.488	20	800
35.588	20	800
35.688	20	32768
40.912	20	807
40.912	20	901
40.912	20	835
40.912	20	33575
41.112	20	32768
41.513	20	1092
42.013	20	807
42.113	20	807
42.213	20	32768
46.846	20	806
46.846	20	901
46.846	20	838
46.946	20	33574
47.046	20	32768
47.447	20	1092
47.947	20	806
48.047	20	806
48.147	20	32768
52.807	20	802
52.807	20	906
52.807	20	835
52.807	20	33570
53.007	20	32768
53.408	20	1092
53.908	20	802
54.008	20	802
54.108	20	32768
57.502	20	805
57.502	20	903
57.502	20	833
57.602	20	33573
57.702	20	32768
58.103	20	1092
58.603	20	805
58.703	20	805
58.803	20	32768
66.052	20	803
66.052	20	901
66.052	20	837
66.052	20	33571
66.252	20	32768
66.653	20	1092
67.153	20	803
67.253	20	803
67.353	20	32768
67.353	20	901
73.552	20	804
73.552	20	838
73.752	20	32768
77.617	20	263
77.729	20	263
77.869	20	786
77.869	20	375
80.869	20	788
85.745	20	257
96.87	20	1092
97.37	20	804
97.47	20	804
97.57	20	32768
97.57	20	909
101.737	20	802
101.737	20	841
101.937	20	32768
102.338	20	1092
102.838	20	802
102.938	20	802
103.038	20	32768
103.038	20	907
104.377	20	800
104.377	20	833
104.577	20	32768
104.978	20	1092
105.478	20	800
105.578	20	800
105.678	20	32768
105.678	20	901
119.197	20	803
119.197	20	836
119.397	20	32768
119.798	20	1092
120.298	20	803
120.398	20	803
120.498	20	32768
120.498	20	906
122.124	20	806
122.124	20	833
122.324	20	32768
122.725	20	1092
123.225	20	806
123.325	20	806
123.425	20	32768
123.425	20	909
131.002	20	807
131.002	20	833
131.202	20	32768
131.603	20	1092
132.103	20	807
132.203	20	807
132.303	20	32768
132.303	20	904
134.992	20	805
134.992	20	841
135.192	20	32768
135.593	20	1092
136.093	20	805
136.193	20	805
136.293	20	32768
139.261	20	801
139.261	20	839
139.461	20	32768
139.862	20	1092
140.362	20	801
140.362	20	901
140.462	20	801
140.462	20	905
140.562	20	32768
145.282	20	800
145.282	20	838
145.482	20	32768
148.417	20	263
148.417	20	369
148.647	20	786
151.647	20	788
167.648	20	1092
168.148	20	800
168.248	20	800
168.248	20	908
168.348	20	32768
174.522	20	802
174.522	20	833
174.722	20	32768
175.123	20	1092
175.623	20	802
175.723	20	802
175.723	20	908
175.823	20	32768
177.157	20	804
177.157	20	833
177.357	20	32768
177.758	20	1092
178.258	20	804
178.358	20	804
178.458	20	32768
189.039	20	801
189.039	20	833
189.239	20	32768
189.64	20	1092
189.64	20	901
190.14	20	801
190.24	20	801
190.24	20	901
190.34	20	32768
194.319	20	805
194.319	20	833
194.519	20	32768
194.92	20	1092
195.42	20	805
195.52	20	805
